Amplitude A,Amplitude B,Amplitude C,Ration A/B,Ratio A/C,Ratio B/A,Ratio B/C,Ratio C/A,Ratio C/B,STD Abw. A,STD Abw. B,STD Abw. C,SW OK A,SW OK B,SW OK C,Schwelle A,Schwelle B,Schwelle C
4.98438,1.74219,1.07031,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.21094,1.57813,0.82813,88.82031,82.11719,100,6.15,1.65,1.975
2.64063,1.61719,1.30469,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.1875,1.57031,0.83594,88.82031,82.11719,100,6.15,1.65,1.975
4.51563,1.13281,0.91406,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.19531,1.55469,0.82813,88.82031,82.11719,100,6,1.65,1.975
4.11719,2.09375,0.95313,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.1875,1.5625,0.82813,88.82031,82.11719,100,5.75,1.65,1.975
3.53906,1.57813,0.88281,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.17969,1.55469,0.82031,88.82031,82.11719,100,5.7,1.65,1.975
6.29688,1.78125,1.11719,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.24219,1.54688,0.82031,88.82031,82.11719,100,5.7,1.65,1.975
5.20313,1.3125,1.54688,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.25781,1.53906,0.83594,88.82031,82.11719,100,5.7,1.65,1.975
5.58594,2.9375,1.24219,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.28906,1.54688,0.83594,88.82031,82.11719,100,5.7,1.65,1.975
4.17188,3.0625,0.97656,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.28906,1.5625,0.83594,88.82031,82.11719,100,5.7,1.65,1.975
4.08594,1.64063,1.08594,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.27344,1.5625,0.83594,88.82031,82.11719,100,5.7,1.65,1.975
3.54688,1.42969,0.96875,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.25781,1.55469,0.83594,88.82031,82.11719,100,5.7,1.65,1.975
2.61719,1.82031,0.64063,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.24219,1.54688,0.82813,88.82031,82.11719,100,5.7,1.65,1.975
6.03906,2.33594,1.39063,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.26563,1.54688,0.82813,88.82031,82.11719,100,5.7,1.65,1.975
3.92969,1.71875,1.09375,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.25781,1.54688,0.82813,88.82031,82.11719,100,5.7,1.65,1.975
6.28125,1.27344,1.41406,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.32031,1.53906,0.83594,88.82031,82.11719,100,5.7,1.65,1.975
5.79688,1.38281,1.09375,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.33594,1.53906,0.83594,88.82031,82.11719,100,5.7,1.65,1.975
7.25,3.23438,0.96094,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.39063,1.5625,0.83594,88.82031,82.11719,100,5.7,1.65,1.975
7.8125,1.52344,0.82031,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.46875,1.55469,0.82813,88.82031,82.11719,100,5.7,1.65,1.975
3.99219,2.10156,0.71094,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.46875,1.5625,0.82813,88.82031,82.11719,100,5.7,1.65,1.975
1.9375,1.33594,1.13281,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.46094,1.55469,0.82031,88.82031,82.11719,100,5.7,1.65,1.975
2.88281,2.15625,1.11719,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.44531,1.5625,0.82031,88.82031,82.11719,100,5.7,1.65,1.975
3.75,1.67969,0.97656,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.4375,1.55469,0.82031,88.82031,82.11719,100,5.7,1.65,1.975
3.88281,1.20313,0.95313,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.4375,1.54688,0.82031,88.82031,82.11719,100,5.7,1.65,1.975
3.32031,2.38281,1.3125,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.42188,1.54688,0.82031,88.82031,82.11719,100,5.7,1.65,1.975
3.4375,1.79688,0.79688,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.42188,1.54688,0.82031,88.82031,82.11719,100,5.7,1.65,1.975
5.14063,1.82813,0.85938,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.42969,1.54688,0.82031,88.82031,82.11719,100,5.7,1.65,1.975
4.66406,2.19531,1.21875,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.42969,1.54688,0.8125,88.82031,82.11719,100,5.7,1.65,1.975
4.66406,2.19531,1.21875,2.10938,4,0.46875,1.89063,0.24219,0.52344,3.42969,1.54688,0.8125,89.51563,75.07813,100,5.7,1.65,1.975
4.63281,2.15625,1.32813,2.10938,4,0.46875,1.89063,0.24219,0.52344,3.38281,1.54688,0.82031,89.51563,75.07813,100,5.7,1.65,1.975
4.63281,2.15625,1.32813,2.10938,4.00781,0.46875,1.89844,0.24219,0.52344,3.38281,1.54688,0.82031,88.82813,75.58594,100,5.7,1.65,1.975
4.64844,1.97656,1.02344,2.10938,4.00781,0.46875,1.89844,0.24219,0.52344,3.35938,1.53906,0.82031,88.82813,75.58594,100,5.7,1.65,1.975
4.64844,1.97656,1.02344,2.09375,3.96875,0.46875,1.89063,0.25,0.52344,3.35938,1.53906,0.82031,90.01563,75.58594,100,5.7,1.65,1.975
5.35938,2.41406,1.26563,2.09375,3.96875,0.46875,1.89063,0.25,0.52344,3.39063,1.52344,0.82031,90.01563,75.58594,100,5.7,1.65,1.975
5.35938,2.41406,1.26563,2.10156,3.97656,0.46875,1.89063,0.25,0.52344,3.39063,1.52344,0.82031,89.35938,75.58594,100,5.7,1.65,1.975
5.60156,2.57813,1.01563,2.10156,3.97656,0.46875,1.89063,0.25,0.52344,3.39844,1.53125,0.82031,89.35938,75.58594,100,5.7,1.65,1.975
5.60156,2.57813,1.01563,2.10156,3.95313,0.46875,1.875,0.25,0.53125,3.39844,1.53125,0.82031,89.21875,75.58594,100,5.7,1.65,1.975
3.38281,1.16406,1.14063,2.10156,3.95313,0.46875,1.875,0.25,0.53125,3.39063,1.53125,0.82813,89.21875,75.58594,100,5.7,1.65,1.975
3.38281,1.16406,1.14063,2.10156,3.92969,0.46875,1.86719,0.25,0.53125,3.39063,1.53125,0.82813,89.21875,74.80469,100,5.7,1.65,1.975
4.27344,1.60156,1.00781,2.10156,3.92969,0.46875,1.86719,0.25,0.53125,3.39844,1.53125,0.82031,89.21875,74.80469,100,5.7,1.65,1.975
4.27344,1.60156,1.00781,2.10156,3.92969,0.46875,1.86719,0.25,0.53125,3.39844,1.53125,0.82031,89.21875,74.60938,100,5.7,1.65,1.975
4.51563,2.02344,0.98438,2.10156,3.92969,0.46875,1.86719,0.25,0.53125,3.39063,1.53125,0.82031,89.21875,74.60938,100,5.7,1.65,1.975
4.51563,2.02344,0.98438,2.08594,3.95313,0.47656,1.89063,0.25,0.52344,3.39063,1.53125,0.82031,89.21875,76.28906,100,5.7,1.65,1.975
5.36719,1.69531,0.94531,2.08594,3.95313,0.47656,1.89063,0.25,0.52344,3.41406,1.52344,0.82031,89.21875,76.28906,100,5.7,1.65,1.975
5.36719,1.69531,0.94531,2.10938,4,0.46875,1.89063,0.25,0.52344,3.41406,1.52344,0.82031,88.78906,76.49219,100,5.7,1.65,1.975
5.10156,1.82031,1.08594,2.10938,4,0.46875,1.89063,0.25,0.52344,3.42969,1.52344,0.82813,88.78906,76.49219,100,5.7,1.65,1.975
5.10156,1.82031,1.08594,2.13281,3.98438,0.46094,1.85938,0.25,0.53125,3.42969,1.52344,0.82813,88.375,75.85156,100,5.7,1.65,1.975
5.46875,2.89063,0.95313,2.13281,3.98438,0.46094,1.85938,0.25,0.53125,3.46094,1.53906,0.82813,88.375,75.85156,100,5.7,1.65,1.975
5.46875,2.89063,0.95313,2.125,4,0.46875,1.88281,0.24219,0.52344,3.46094,1.53906,0.82813,87.46094,76.9375,100,5.7,1.65,1.975
3.5,1.42188,0.71094,2.125,4,0.46875,1.88281,0.24219,0.52344,3.44531,1.51563,0.82031,87.46094,76.9375,100,5.7,1.65,1.975
3.5,1.42188,0.71094,2.14844,4,0.46094,1.85938,0.24219,0.53125,3.44531,1.51563,0.82031,87.46094,76.07813,100,5.7,1.65,1.975
4.99219,1.96875,1.39063,2.14844,4,0.46094,1.85938,0.24219,0.53125,3.45313,1.51563,0.82813,87.46094,76.07813,100,5.7,1.65,1.975
4.99219,1.96875,1.39063,2.17188,4,0.45313,1.82813,0.25,0.53906,3.45313,1.51563,0.82813,87.46094,75.15625,100,5.7,1.65,1.975
5.98438,1.75781,1.46875,2.17188,4,0.45313,1.82813,0.25,0.53906,3.5,1.51563,0.83594,87.46094,75.15625,100,5.7,1.65,1.975
5.98438,1.75781,1.46875,2.21875,4.05469,0.44531,1.82813,0.24219,0.54688,3.5,1.51563,0.83594,85.99219,75.15625,100,5.7,1.65,1.975
6.0625,3.46094,1.27344,2.21875,4.05469,0.44531,1.82813,0.24219,0.54688,3.57813,1.55469,0.82813,85.99219,75.15625,100,5.7,1.65,1.975
6.0625,3.46094,1.27344,2.20313,4.07813,0.44531,1.84375,0.24219,0.53906,3.57813,1.55469,0.82813,84.77344,75.15625,100,5.7,1.65,1.975
3.03125,2.21875,1.14063,2.20313,4.07813,0.44531,1.84375,0.24219,0.53906,3.5625,1.57031,0.83594,84.77344,75.15625,100,5.7,1.65,1.975
3.03125,2.21875,1.14063,2.1875,4.05469,0.45313,1.84375,0.24219,0.53906,3.5625,1.57031,0.83594,84.77344,75.15625,100,5.7,1.65,1.975
4.28125,1.53906,0.94531,2.1875,4.05469,0.45313,1.84375,0.24219,0.53906,3.5625,1.5625,0.83594,84.77344,75.15625,100,5.7,1.65,1.975
